bx,by,bz,v,n,w
-6.21842,0.95575416,-5.0263424,397.969482421875,7.017922401428223,38.746829986572266
-6.1303368,0.87832266,-5.143908,390.8235168457031,6.511373519897461,36.8452262878418
-6.900076,1.6135066,-3.9312713,392.7669982910156,4.0014142990112305,29.839397430419922
-6.428208,1.8107393,-4.408451,392.7669982910156,4.0014142990112305,29.839397430419922
-6.900076,1.6135066,-3.9312713,370.6109619140625,3.9172024726867676,28.206295013427734
-3.646807,6.16353,3.90204,nan,1.930694341659546,nan
-2.714684,6.638047,3.785925,nan,1.930694341659546,nan
-5.643923,5.8723335,0.759572,529.844970703125,0.8453097939491272,35.07588195800781
-5.5199013,6.048208,0.9086816,529.844970703125,0.8453097939491272,35.07588195800781
-5.643923,5.8723335,0.759572,525.5280151367188,0.9841837286949158,41.421382904052734
-6.769598,4.3612337,-4.6855755,564.9326171875,1.279968023300171,45.5399284362793
-6.666037,4.406586,-4.5270824,564.9326171875,1.279968023300171,45.5399284362793
-6.769598,4.3612337,-4.6855755,563.7195434570312,1.2779853343963623,45.54928970336914
-6.617299,5.629483,-2.8363986,563.7813720703125,1.216706395149231,46.21603775024414
-6.7563314,5.3680234,-3.256504,563.7813720703125,1.216706395149231,46.21603775024414
-6.617299,5.629483,-2.8363986,564.6022338867188,1.2015774250030518,44.29312515258789
-5.9607353,7.435127,0.30713233,570.7531127929688,1.0146968364715576,43.341880798339844
-6.0885053,7.559831,0.14146677,576.9845581054688,1.2059956789016724,49.192813873291016
-5.9826546,7.235027,2.3032408,552.12158203125,1.1009384393692017,51.48029327392578
-2.2011795,7.4271383,5.4276085,559.8222045898438,1.2684940099716187,56.457096099853516
-3.617501,5.2599506,6.852728,563.4049072265625,1.6267790794372559,63.29645538330078
-3.4429069,4.1114025,7.6950994,561.859619140625,1.0597819089889526,49.321250915527344
-3.3989644,4.4892993,7.495605,551.5577392578125,1.4088456630706787,63.09232711791992
-3.3032558,8.156707,4.6215425,557.5042724609375,1.7807680368423462,63.176551818847656
-3.4227912,7.338535,4.844621,546.3975219726562,1.888094186782837,65.82460021972656
-3.3261397,7.325392,4.9604964,546.3975219726562,1.888094186782837,65.82460021972656
-2.623472,7.331495,5.207045,517.3958129882812,1.5748400688171387,57.72211837768555
-3.1942348,7.0771527,5.8609996,557.4129028320312,1.7905499935150146,61.65090560913086
-3.2399287,7.319675,5.7360525,569.4017944335938,2.016056537628174,67.50897979736328
-3.2468262,6.6154904,6.138015,584.4404296875,2.1986045837402344,75.32514190673828
-3.0021832,7.091386,6.040239,573.3090209960938,2.0931549072265625,66.07194519042969
-3.0925026,7.431205,5.556085,560.6967163085938,2.004603624343872,67.67932891845703
-2.9690335,7.7622046,5.169226,560.6967163085938,2.004603624343872,67.67932891845703
-3.0925026,7.431205,5.556085,557.58544921875,2.464034080505371,78.14090728759766
-3.059384,8.111672,3.9862678,564.19775390625,2.4526050090789795,nan
-3.2215216,7.845491,4.2944875,564.19775390625,2.4526050090789795,nan
-3.788564,7.207774,4.6173654,535.776123046875,1.983109951019287,79.36627960205078
